Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1nF 0805","C_0805_2012Metric",44.500000,16.075000,-90.000000,top
"C2","100nF 0603","C_0603_1608Metric",33.950000,12.000000,0.000000,top
"C3","100uF SMD","CP_Elec_6.3x7.7",-7.500000,30.000000,90.000000,top
"C4","100nF 0603","C_0603_1608Metric",-35.500000,35.000000,90.000000,top
"C5","1uF 0805","C_0805_2012Metric",-40.050000,-46.500000,0.000000,top
"C6","1uF 0805","C_0805_2012Metric",9.000000,39.700000,0.000000,top
"C7","1uF 0805","C_0805_2012Metric",20.000000,28.000000,90.000000,top
"C8","100nF 0603","C_0603_1608Metric",-30.000000,-1.000000,90.000000,top
"C9","100nF 0603","C_0603_1608Metric",-12.775000,20.000000,0.000000,top
"C10","100nF 0603","C_0603_1608Metric",-12.775000,18.500000,0.000000,top
"C11","100nF 0603","C_0603_1608Metric",-12.725000,17.000000,0.000000,top
"C12","100nF 0603","C_0603_1608Metric",-12.725000,15.500000,0.000000,top
"C13","100nF 0603","C_0603_1608Metric",-12.725000,14.000000,0.000000,top
"C14","100nF 0603","C_0603_1608Metric",-12.725000,12.500000,0.000000,top
"C15","100nF 0603","C_0603_1608Metric",-12.725000,11.000000,0.000000,top
"C16","100nF 0603","C_0603_1608Metric",-12.775000,9.500000,0.000000,top
"C17","100nF 0603","C_0603_1608Metric",-13.000000,-37.775000,-90.000000,top
"C18","100nF 0603","C_0603_1608Metric",44.000000,6.225000,90.000000,top
"C20","100nF 0603","C_0603_1608Metric",31.450000,-39.000000,180.000000,top
"D1","KPFA-3010RGBC-11","LED_Kingbright_APFA3010_3x1.5mm_Horizontal",-47.400000,-9.900000,90.000000,top
"F1","MP005240","Fuse_1812_4532Metric",34.000000,17.000000,180.000000,top
"F2","1206L150THWR","Fuse_1206_3216Metric",24.000000,39.400000,90.000000,top
"J1","USB Micro-B","USB_Micro-B_Amphenol_10118194_Horizontal",47.300000,24.500000,90.000000,top
"Q1","BC817","SOT-23",-31.562500,-36.550000,180.000000,top
"Q2","MOSFET P-Ch","SOT-23",25.000000,32.562500,90.000000,top
"Q3","BC817","SOT-23",4.000000,39.000000,180.000000,top
"R1","1M","R_0805_2012Metric",47.550000,16.025000,-90.000000,top
"R2","120","R_0805_2012Metric",-41.887500,-11.400000,0.000000,top
"R3","5.6","R_0805_2012Metric",-41.887500,-8.400000,0.000000,top
"R4","5.6","R_0805_2012Metric",-35.812500,-9.900000,0.000000,top
"R5","1k","R_0805_2012Metric",-11.087500,-43.000000,180.000000,top
"R6","5.6","R_0805_2012Metric",-40.087500,-43.000000,0.000000,top
"R7","10k","R_0805_2012Metric",27.750000,38.912500,90.000000,top
"R8","1k","R_0805_2012Metric",7.100000,35.600000,90.000000,top
"R9","5.6","R_0805_2012Metric",7.800000,44.500000,180.000000,top
"R10","10k","R_0805_2012Metric",-7.500000,6.750000,-90.000000,top
"R11","10k","R_0805_2012Metric",-7.500000,3.000000,-90.000000,top
"R12","10k","R_0805_2012Metric",-7.500000,-1.000000,90.000000,top
"R13","1M","R_0805_2012Metric",-16.500000,-37.912500,-90.000000,top
"R14","5.6","R_0805_2012Metric",-32.200000,35.500000,0.000000,top
"R15","1M","R_0805_2012Metric",40.000000,6.000000,90.000000,top
"R16","1k","R_0805_2012Metric",34.412500,-35.500000,0.000000,top
"R17","1k","R_0805_2012Metric",39.000000,-35.500000,180.000000,top
"R18","1k","R_0805_2012Metric",38.912500,-32.000000,180.000000,top
"RN1","10k","R_Array_Concave_4x0603",-27.000000,16.000000,0.000000,top
"RN2","10k","R_Array_Concave_4x0603",-29.350000,-6.400000,180.000000,top
"RN3","10k","R_Array_Concave_4x0603",-14.650000,-6.800000,0.000000,top
"RN4","10k","R_Array_Concave_4x0603",-26.750000,10.500000,0.000000,top
"RN5","1.5k","R_Array_Concave_4x0603",-24.000000,-12.350000,-90.000000,top
"RN6","1.5k","R_Array_Concave_4x0603",-19.600000,-12.350000,-90.000000,top
"RN7","1.5k","R_Array_Concave_4x0603",-18.950000,22.500000,-90.000000,top
"RN8","1.5k","R_Array_Concave_4x0603",-22.750000,22.500000,-90.000000,top
"U2","MCP23017-E/SO","SOIC-28W_7.5x17.9mm_P1.27mm",-18.000000,2.000000,90.000000,top
"U3","CPC1017N","SOP-4_3.8x4.1mm_P2.54mm",-14.500000,-31.730000,180.000000,top
"U4","CPC1017N","SOP-4_3.8x4.1mm_P2.54mm",-23.500000,-23.770000,180.000000,top
"U5","CPC1017N","SOP-4_3.8x4.1mm_P2.54mm",-14.500000,-25.500000,180.000000,top
"U6","CPC1017N","SOP-4_3.8x4.1mm_P2.54mm",-23.500000,-29.770000,180.000000,top
"U7","CPC1017N","SOP-4_3.8x4.1mm_P2.54mm",-23.500000,-17.730000,180.000000,top
"U8","CPC1017N","SOP-4_3.8x4.1mm_P2.54mm",-14.750000,-19.000000,180.000000,top
"U9","CPC1017N","SOP-4_3.8x4.1mm_P2.54mm",43.900000,-12.670000,90.000000,top
"U10","CPC1017N","SOP-4_3.8x4.1mm_P2.54mm",37.900000,-12.670000,90.000000,top
"U11","CAT24C128","SOIC-8_3.9x4.9mm_P1.27mm",39.135000,-42.975000,90.000000,top
