"Ref","Qnty","Value","Footprint","Description","MPN"
"C1, ","1","1nF 0805","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol",""
"C2, C4, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C20, ","14","100nF 0603","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor, small symbol",""
"D1, ","1","KPFA-3010RGBC-11","LED_SMD:LED_Kingbright_APFA3010_3x1.5mm_Horizontal","LED RGB, Common Anode, SMD, 3.0x1.5mm, Horizontal","KPFA-3010RGBC-11"
"F1, ","1","MP005240","Fuse:Fuse_1812_4532Metric","Resettable fuse, polymeric positive temperature coefficient, small symbol","MP005240"
"F2, ","1","1206L150THWR","Fuse:Fuse_1206_3216Metric","Resettable fuse, polymeric positive temperature coefficient, small symbol","1206L150THWR"
"J1, ","1","USB Micro-B","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal","USB Micro Type B connector","10118194-0001LF"
"JP1, ","1","Jumper","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Jumper, 3-pole, pins 1+2 closed/bridged","M20-8770342"
"JP2, ","1","Jumper_2_Open","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Jumper, 2-pole, open",""
"Q1, Q3, ","2","BC817 SOT23","Package_TO_SOT_SMD:SOT-23","0.8A Ic, 45V Vce, NPN Transistor, SOT-23","BC817-25LT1G"
"Q2, ","1","MOSFET P-Ch SOT23","Package_TO_SOT_SMD:SOT-23","-6.4A Id, -40V Vds, P-Channel MOSFET, SOT-223","DMG2307L-7"
"R1, R13, R15, ","3","1M 0805","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R2, ","1","120 0805","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R3, R4, R6, R9, R14, ","5","5.6 0805","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R5, R8, R16, R17, R18, ","5","1k 0805","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R7, R10, R11, R12, ","4","10k 0805","Resistor_SMD:R_0805_2012Metric","Resistor",""
"RN1, RN2, RN3, RN4, ","4","10k 4x0603","Resistor_SMD:R_Array_Concave_4x0603","4 resistor network, parallel topology","EXBV8V103JV"
"RN5, RN6, RN7, RN8, ","4","1.5k 4x0603","Resistor_SMD:R_Array_Concave_4x0603","4 resistor network, parallel topology","EXB-38V152JV"
"U2, ","1","MCP23017-E/SO","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","16-bit I/O expander, I2C, interrupts, w pull-ups, SSOP-28","MCP23017-E/SO"
"U3, U4, U5, U6, U7, U8, U9, U10, ","8","CPC1017N","Package_SO:SOP-4_3.8x4.1mm_P2.54mm","Form A, Solid State Relay (Photo MOSFET) 60V, 0.1A, 16Ohm, SO-4","CPC1017NTR"
"U11, ","1","CAT24C128","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","128 kb CMOS Serial EEPROM, SOIC-8/TSSOP-8/DFN-8","CAT24C128WI-GT3"
